Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,Image Url,Female Nudity,Male Nudity,Nudity
12.50,False,False,True,10171,774,The American Wing,1912,Sculpture,Diana,American,,,,,16285,Artist, ,Karl Theodore Bitter,"American (born Austria), Vienna 1867–1915 New York", ,"Bitter, Karl Theodore","American, born Austria",1867      ,1915      ,male,http://vocab.getty.edu/page/ulan/500012278,https://www.wikidata.org/wiki/Q114552,1910,1910,1910,Bronze,19 3/4 x 5 3/4 x 9 in. (50.2 x 14.6 x 22.9 cm),"Rogers Fund, 1912",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10171,https://www.wikidata.org/wiki/Q116378159,,"Metropolitan Museum of Art, New York, NY",Bow and Arrow|Diana, |http://vocab.getty.edu/page/ia/901000118,https://www.wikidata.org/wiki/Q19827042|https://www.wikidata.org/wiki/Q132543,https://images.metmuseum.org/CRDImages/ad/original/270687.jpg|https://images.metmuseum.org/CRDImages/ad/original/12382.jpg,True,,Female
1984.452.1,False,False,True,10187,,The American Wing,1984,Drawing,The Toilet,American,,,,,16317,Artist, ,Robert Frederick Blum,"American, Cincinnati, Ohio 1857–1903 New York", ,"Blum, Robert Frederick",American,1857      ,1903      ,male,http://vocab.getty.edu/page/ulan/500003750,https://www.wikidata.org/wiki/Q3592147,ca. 1893,1890,1893,Pastel on brown wove paper,11 1/2 x 11 in. (29.2 x 27.9 cm),"Gift of Margaret and Raymond J. Horowitz, 1984",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10187,,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,https://images.metmuseum.org/CRDImages/ad/original/ap1984.452.1.jpg|https://images.metmuseum.org/CRDImages/ad/original/APS1667.jpg|https://images.metmuseum.org/CRDImages/ad/original/235594.jpg,True,,Female
11.103.1,False,False,False,10233,774,The American Wing,1911,Sculpture,The Bather,American,,,,,16317,Artist, ,Richard Edwin Brooks,"American, Braintree, Massachusetts 1865–1919 Washington, D.C.", ,"Brooks, Richard Edwin",American,1865      ,1919      ,male,http://vocab.getty.edu/page/ulan/500524268,https://www.wikidata.org/wiki/Q7325353,"1896, cast 1904",1896,1904,Bronze,23 x 11 3/8 x 10 1/2 in. (58.4 x 28.9 x 26.7 cm),"Rogers Fund, 1911",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10233,https://www.wikidata.org/wiki/Q116378148,,"Metropolitan Museum of Art, New York, NY",Male Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/270716.jpg|https://images.metmuseum.org/CRDImages/ad/original/10986.jpg,,True,Male
11.103.2,False,False,False,10234,774,The American Wing,1911,Sculpture,Song of the Wave,American,,,,,16317,Artist, ,Richard Edwin Brooks,"American, Braintree, Massachusetts 1865–1919 Washington, D.C.", ,"Brooks, Richard Edwin",American,1865      ,1919      ,male,http://vocab.getty.edu/page/ulan/500524268,https://www.wikidata.org/wiki/Q7325353,"1895, cast 1904",1895,1904,Bronze,12 1/2 x 14 3/8 x 10 3/8 in. (31.8 x 36.5 x 26.4 cm),"Rogers Fund, 1911",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10234,https://www.wikidata.org/wiki/Q116378147,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/270715.jpg,True,,Female
20.76,False,False,True,10344,774,The American Wing,1920,Sculpture,At the Threshold,American,,,,,16335,Artist, ,Edith Woodman Burroughs,"American, Riverdale, New York 1871–1916 Flushing, New York", ,"Burroughs, Edith Woodman",American,1871      ,1916      ,female,http://vocab.getty.edu/page/ulan/500524280,https://www.wikidata.org/wiki/Q5338696,1912; carved 1919–20,1912,1920,"Limestone, tinted",62 1/2 x 14 1/2 x 16 in. (158.8 x 36.8 x 40.6 cm),"Amelia B. Lazarus Fund, 1920",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10344,https://www.wikidata.org/wiki/Q29961013,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/270708.jpg,True,,Female
12.16,False,False,True,10558,,The American Wing,1912,Drawing,Study for Ceiling Decoration,American,,,,,16179,Artist, ,Kenyon Cox,"American, Warren, Ohio 1856–1919 New York", ,"Cox, Kenyon",American,1856      ,1919      ,male,http://vocab.getty.edu/page/ulan/500015454,https://www.wikidata.org/wiki/Q933739,ca. 1894,1891,1894,Graphite on off-white laid paper for transfer,14 5/8 x 20 in. (37.1 x 50.8 cm),"Gift of William Rothenstein, 1912",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10558,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/ap12.16.jpg|https://images.metmuseum.org/CRDImages/ad/original/12112.jpg,True,,Female
50.101.1,False,False,True,10561,,The American Wing,1950,Drawing,"Study for ""Science Instructing Industry""",American,,,,,16179,Artist, ,Kenyon Cox,"American, Warren, Ohio 1856–1919 New York", ,"Cox, Kenyon",American,1856      ,1919      ,male,http://vocab.getty.edu/page/ulan/500015454,https://www.wikidata.org/wiki/Q933739,1898,1898,1898,Graphite on off-white laid paper; mounted on Egyptian linen,14 11/16 x 20 1/4 in. (37.3 x 51.4 cm),"Francis Lathrop Fund, 1950",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10561,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/ap50.101.1.jpg|https://images.metmuseum.org/CRDImages/ad/original/147788.jpg,True,,Female
50.101.2,False,False,True,10562,,The American Wing,1950,Drawing,Science Instructing Industry: Nude Study,American,,,,,16179,Artist, ,Kenyon Cox,"American, Warren, Ohio 1856–1919 New York", ,"Cox, Kenyon",American,1856      ,1919      ,male,http://vocab.getty.edu/page/ulan/500015454,https://www.wikidata.org/wiki/Q933739,1898,1898,1898,Graphite on off-white laid paper mounted on secondary support of Egyptian linen,14 7/8 x 19 7/16 in. (37.8 x 49.4 cm),"Francis Lathrop Fund, 1950",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10562,,,"Metropolitan Museum of Art, New York, NY",Male Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/DP-32706-001.jpg|https://images.metmuseum.org/CRDImages/ad/original/ap50.101.2.jpg|https://images.metmuseum.org/CRDImages/ad/original/147789.jpg,,True,Male
10.228.8,True,False,True,11109,,The American Wing,1910,Watercolor,The Bather,American,,,,,16199,Artist, ,Winslow Homer,"American, Boston, Massachusetts 1836–1910 Prouts Neck, Maine", ,"Homer, Winslow",American,1836      ,1910      ,male,http://vocab.getty.edu/page/ulan/500019202,https://www.wikidata.org/wiki/Q344838,1899,1899,1899,Watercolor and graphite on off-white wove paper,"14 7/16 x 21 1/16 in. (36.7 x 53.5 cm)
Framed: 24 1/2 x 30 1/2 in. (62.2 x 77.5 cm)","Amelia B. Lazarus Fund, 1910",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11109,https://www.wikidata.org/wiki/Q104412988,,"Metropolitan Museum of Art, New York, NY",Men|Bathing,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300343854,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q327651,https://images.metmuseum.org/CRDImages/ad/original/DP-21449-001.jpg|https://images.metmuseum.org/CRDImages/ad/original/DT377.jpg|https://images.metmuseum.org/CRDImages/ad/original/APS0942.jpg|https://images.metmuseum.org/CRDImages/ad/original/9645.jpg,,True,Male
06.1234,True,True,True,11122,767,The American Wing,1906,Painting,The Gulf Stream,American,,,,,16199,Artist, ,Winslow Homer,"American, Boston, Massachusetts 1836–1910 Prouts Neck, Maine", ,"Homer, Winslow",American,1836      ,1910      ,male,http://vocab.getty.edu/page/ulan/500019202,https://www.wikidata.org/wiki/Q344838,1899; reworked by 1906,1899,1906,Oil on canvas,"28 1/8 x 49 1/8 in. (71.4 x 124.8 cm)
Framed: 42 5/16 x 62 11/16 x 5 7/8 in. (107.5 x 159.3 x 15 cm)","Catharine Lorillard Wolfe Collection, Wolfe Fund, 1906",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11122,https://www.wikidata.org/wiki/Q7738501,,"Metropolitan Museum of Art, New York, NY",Men|Fish|Seas|Waves|Boats,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300266085|http://vocab.getty.edu/page/aat/300008694|http://vocab.getty.edu/page/aat/300343616|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q152|https://www.wikidata.org/wiki/Q165|https://www.wikidata.org/wiki/Q165848|https://www.wikidata.org/wiki/Q35872,https://images.metmuseum.org/CRDImages/ad/original/DP-20821-001.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP-20821-002.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP-23169-004.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP-23169-001.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP-23169-002.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP-23169-003.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP140858.jpg,,True,Male
10.228.3,False,False,True,11139,,The American Wing,1910,Watercolor,"Sloop, Nassau",American,,,,,16199,Artist, ,Winslow Homer,"American, Boston, Massachusetts 1836–1910 Prouts Neck, Maine", ,"Homer, Winslow",American,1836      ,1910      ,male,http://vocab.getty.edu/page/ulan/500019202,https://www.wikidata.org/wiki/Q344838,1899,1899,1899,Watercolor and graphite on off-white wove paper,14 7/8 x 21 3/8 in. (37.8 x 54.3 cm),"Amelia B. Lazarus Fund, 1910",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11139,http://www.wikidata.org/entity/Q112915278,,"Metropolitan Museum of Art, New York, NY",Men|Seascapes|Boats,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300117546|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q158607|https://www.wikidata.org/wiki/Q35872,https://images.metmuseum.org/CRDImages/ad/original/DP119112.jpg|https://images.metmuseum.org/CRDImages/ad/original/ap10.228.3.jpg|https://images.metmuseum.org/CRDImages/ad/original/APS2306.jpg|https://images.metmuseum.org/CRDImages/ad/original/9627.jpg|https://images.metmuseum.org/CRDImages/ad/original/184919.jpg,,True,Male
67.55.173,False,False,True,11369,773,The American Wing,1967,Watercolor,A Bacchante,American,,,,,16204,Artist, ,John La Farge,"American, New York 1835–1910 Providence, Rhode Island", ,"La Farge, John",American,1835      ,1910      ,male,http://vocab.getty.edu/page/ulan/500022926,https://www.wikidata.org/wiki/Q3120087,1897,1897,1897,"Gouache, watercolor, and graphite on off-white wove paper",11 5/8 x 10 1/2 in. (29.5 x 26.7 cm),"Bequest of Susan Dwight Bliss, 1966",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11369,https://www.wikidata.org/wiki/Q19924265,,"Metropolitan Museum of Art, New York, NY",Bacchantes,http://vocab.getty.edu/page/aat/300379712,https://www.wikidata.org/wiki/Q209599,https://images.metmuseum.org/CRDImages/ad/original/DP-17231-002.jpg|https://images.metmuseum.org/CRDImages/ad/original/ap67.55.173.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP-17231-001.jpg|https://images.metmuseum.org/CRDImages/ad/original/187199.jpg,True,,Female
1970.120,False,False,True,11374,,The American Wing,1970,Watercolor,"Girls Carrying a Canoe, Vaiala in Samoa",American,,,,,16204,Artist, ,John La Farge,"American, New York 1835–1910 Providence, Rhode Island", ,"La Farge, John",American,1835      ,1910      ,male,http://vocab.getty.edu/page/ulan/500022926,https://www.wikidata.org/wiki/Q3120087,1891,1891,1891,"Watercolor, gouache, and graphite on off-white wove paper",17 15/16 x 21 7/8 in. (45.6 x 55.6 cm),"Purchase, Mrs. Arthur Hays Sulzberger Gift, in memory of Mr. Arthur  Hays Sulzberger, 1970",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11374,https://www.wikidata.org/wiki/Q20178399,,"Metropolitan Museum of Art, New York, NY",Women|Boats,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q35872,https://images.metmuseum.org/CRDImages/ad/original/DT11162.jpg|https://images.metmuseum.org/CRDImages/ad/original/ap1970.120.jpg|https://images.metmuseum.org/CRDImages/ad/original/APS2316.jpg|https://images.metmuseum.org/CRDImages/ad/original/193205.jpg,True,,Female
67.55.170,False,False,True,11391,,The American Wing,1967,Watercolor,The Wheel of Fortune,American,,,,,16204,Artist, ,John La Farge,"American, New York 1835–1910 Providence, Rhode Island", ,"La Farge, John",American,1835      ,1910      ,male,http://vocab.getty.edu/page/ulan/500022926,https://www.wikidata.org/wiki/Q3120087,1900,1900,1900,"Gouache, watercolor, and graphite on light tan wove paper",15 5/8 x 12 1/4 in. (39.7 x 31.1 cm),"Bequest of Susan Dwight Bliss, 1966",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11391,https://www.wikidata.org/wiki/Q20178386,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/ap67.55.170.jpg|https://images.metmuseum.org/CRDImages/ad/original/67.55.170.jpg|https://images.metmuseum.org/CRDImages/ad/original/187197.jpg,True,,Female
07.117,False,False,True,11449,774,The American Wing,1907,Sculpture,The Sprinter,American,,,,,16374,Artist, ,Charles Albert Lopez,"American (born Mexico), Matamoras 1869–1906 New York", ,"Lopez, Charles Albert","American, born Mexico",1869      ,1906      ,male,http://vocab.getty.edu/page/ulan/500524320,https://www.wikidata.org/wiki/Q84562785,"1902, cast 1907",1902,1907,Bronze,17 1/4 x 9 3/4 x 24 in. (43.8 x 24.8 x 61 cm),"Rogers Fund, 1907",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11449,https://www.wikidata.org/wiki/Q116378108,,"Metropolitan Museum of Art, New York, NY",Men|Running|Athletes,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300239496|http://vocab.getty.edu/page/aat/300236025,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q105674|https://www.wikidata.org/wiki/Q2066131,https://images.metmuseum.org/CRDImages/ad/original/07.117.jpg,,True,Male
1986.343,False,False,True,11783,774,The American Wing,1986,Sculpture,The Arrow Dance,American,,,,,16381,Artist, ,Louis McClellan Potter,"American, Troy, New York 1873–1912 Seattle, Washington", ,"Potter, Louis McClellan",American,1873      ,1912      ,male,http://vocab.getty.edu/page/ulan/500336103,https://www.wikidata.org/wiki/Q43135409,1907,1907,1907,Bronze,28 3/4 x 15 1/2 x 14 1/2 in. (73 x 39.4 x 36.8 cm),"Gift of Mr. and Mrs. Edwin C. Stephens, in memory of Helen Tresch, 1986",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11783,https://www.wikidata.org/wiki/Q116393351,,"Metropolitan Museum of Art, New York, NY",Dance|Men,http://vocab.getty.edu/page/aat/300417581|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q11639|https://www.wikidata.org/wiki/Q8441,https://images.metmuseum.org/CRDImages/ad/original/1986.343.jpg|https://images.metmuseum.org/CRDImages/ad/original/240613.jpg,,True,Male
"39.65.49a, b",False,False,True,11871,,The American Wing,1939,Sculpture,The Scalp,American,,,,,16229,Artist, ,Frederic Remington,"American, Canton, New York 1861–1909 Ridgefield, Connecticut", ,"Remington, Frederic",American,1861      ,1909      ,male,http://vocab.getty.edu/page/ulan/500024759,https://www.wikidata.org/wiki/Q560787,"1898, cast before 1939",1898,1938,Bronze,22 3/4 x 23 1/4 x 9 5/8 in. (57.8 x 59.1 x 24.4 cm),"Bequest of Jacob Ruppert, 1939",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11871,,,"Metropolitan Museum of Art, New York, NY",Men|Horses,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q726,"https://images.metmuseum.org/CRDImages/ad/original/39.65.49a,b.jpg",,True,Male
08.216,False,False,True,11997,,The American Wing,1908,Plaquette,Cornish Celebration Presentation Plaquette,American,,,,,16236,Artist, ,Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire", ,"Saint-Gaudens, Augustus",American,1848      ,1907      ,male,http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q770625,1905–6,1905,1906,Bronze and silver,3 1/4 x 1 3/4 in. (8.3 x 4.5 cm),"Gift of Kenyon Cox, 1908",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11997,,,"Metropolitan Museum of Art, New York, NY",Angels|Trees,http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q10884,https://images.metmuseum.org/CRDImages/ad/original/DP169668.jpg,,True,Male
28.101,False,True,True,11998,700,The American Wing,1928,Sculpture,Diana,American,,,,,16236,Artist, ,Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire", ,"Saint-Gaudens, Augustus",American,1848      ,1907      ,male,http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q770625,"1892–93, cast 1928",1892,1928,"Bronze, gilt",101 3/4 x 53 1/2 x 14 1/8 in. (258.4 x 135.9 x 35.9 cm),"Rogers Fund, 1928",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11998,https://www.wikidata.org/wiki/Q83559834,,"Metropolitan Museum of Art, New York, NY",Bow and Arrow|Female Nudes|Diana, |http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/ia/901000118,https://www.wikidata.org/wiki/Q19827042|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q132543,https://images.metmuseum.org/CRDImages/ad/original/DP170795.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP170796.jpg,True,,Female
1985.353,True,True,True,11999,769,The American Wing,1985,Sculpture,Diana,American,,,,,16236,Artist, ,Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire", ,"Saint-Gaudens, Augustus",American,1848      ,1907      ,male,http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q770625,"1893–94, cast 1894 or after",1893,1894,Bronze,28 1/4 x 16 1/4 x 14 in. (71.8 x 41.3 x 35.6 cm),"Gift of Lincoln Kirstein, 1985",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11999,https://www.wikidata.org/wiki/Q29383008,,"Metropolitan Museum of Art, New York, NY",Bow and Arrow|Female Nudes|Diana, |http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/ia/901000118,https://www.wikidata.org/wiki/Q19827042|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q132543,https://images.metmuseum.org/CRDImages/ad/original/DT8214.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP170283.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP170284.jpg,True,,Female
06.1192,False,False,True,12022,,The American Wing,1906,Medal,Benjamin Franklin Commemorative Medal,American,,,,,335,Artist, ,Louis St. Gaudens,1854–1913, ,"St. Gaudens, Louis",American,1854      ,1913      ,male,http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q770625,1906,1906,1906,Bronze,Diam. 4 in. (10.2 cm),"Gift of President Theodore Roosevelt, 1906",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/12022,,,"Metropolitan Museum of Art, New York, NY",Men|Benjamin Franklin|Profiles,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/ulan/500331804|http://vocab.getty.edu/page/aat/300123319,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q34969|https://www.wikidata.org/wiki/Q4382010,https://images.metmuseum.org/CRDImages/ad/original/DP168892.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP168893.jpg,,True,Male
50.130.150t,False,False,True,12522,,The American Wing,1950,Drawing,Sketch of Grave Stele (from Sketchbook),American,,,,,287,Artist, ,Mary Newbold Sargent,1826–1906, ,"Sargent, Mary Newbold",American,1826      ,1906      ,female,,https://www.wikidata.org/wiki/Q56739442,1904,1904,1904,Graphite on paper,5 1/4 x 8 1/4 in. (13.3 x 21 cm),"Gift of Mrs. Francis Ormond, 1950",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/12522,,,"Metropolitan Museum of Art, New York, NY",Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441,https://images.metmuseum.org/CRDImages/ad/original/219374.jpg,True,True,Female and Male
1995.374,False,False,True,13589,,The American Wing,1995,Drawing,"""Coral"" (Study for Mural, World's Columbian Exposition, Chicago)",American,,,,,16241,Artist, ,Walter Shirlaw,"American, Paisley, Scotland 1838–1909 Madrid", ,"Shirlaw, Walter","American, Scottish",1838      ,1909      ,male,http://vocab.getty.edu/page/ulan/500002781,https://www.wikidata.org/wiki/Q7966127,ca. 1892,1892,1892,Charcoal and pastel on tan wove paper,54 1/2 x 31 3/4 in. (138.4 x 80.6 cm),"Purchase, Jacqueline Loewe Fowler Gift, 1995",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/13589,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/DT3925.jpg|https://images.metmuseum.org/CRDImages/ad/original/ap1995.374.jpg|https://images.metmuseum.org/CRDImages/ad/original/APS1726.jpg|https://images.metmuseum.org/CRDImages/ad/original/260936.jpg,True,,Female
07.312.2,False,False,True,14618,,The American Wing,1907,Medal,Yale University Bicentennial,American,,,,,108,Artist, ,Bela Lyon Pratt,1867–1917, ,"Pratt, Bela Lyon",American,1867      ,1917      ,male,http://vocab.getty.edu/page/ulan/500095555,https://www.wikidata.org/wiki/Q4881787,1901,1901,1901,Bronze,Diam. 2 3/4 in. (7 cm),"Gift of Mr. and Mrs. F. S. Wait, 1907",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/14618,,,"Metropolitan Museum of Art, New York, NY",Men|Women|Carriages,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300185335,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q235356,https://images.metmuseum.org/CRDImages/ad/original/AW_07_312_2-001.jpg|https://images.metmuseum.org/CRDImages/ad/original/AW_07_312_2-002.jpg,,True,Male
1995.4,False,True,True,14941,,The American Wing,1995,Medal,World's Columbian Exposition Commemorative Presentation Medal,American,,,,,162366318,Artist|Artist, | ,Augustus Saint-Gaudens|Charles E. Barber,"American, Dublin 1848–1907 Cornish, New Hampshire|1840–1917", | ,"Saint-Gaudens, Augustus|Barber, Charles E.",American|American,1848      |1840      ,1907      |1917      ,male,http://vocab.getty.edu/page/ulan/500124332|,https://www.wikidata.org/wiki/Q770625|,"1892–94, cast by 1896",1892,1894,Bronze,Diam. 3 in. (7.6 cm),"Morris K. Jesup Fund, 1995",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/14941,https://www.wikidata.org/wiki/Q83559951,,"Metropolitan Museum of Art, New York, NY",Christopher Columbus,http://vocab.getty.edu/page/ulan/500237956,https://www.wikidata.org/wiki/Q7322,https://images.metmuseum.org/CRDImages/ad/original/DP168888.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP169697.jpg,True,,Female
JP3446,False,False,True,55653,,Asian Art,1975,Print,,Japan,,,,,16476,Artist, ,Utagawa Hiroshige,"Japanese, Tokyo (Edo) 1797–1858 Tokyo (Edo)", ,"Utagawa, Hiroshige",Japanese,1797      ,1858      ,male,http://vocab.getty.edu/page/ulan/500019641,https://www.wikidata.org/wiki/Q200798,early 20th century,1900,1933,Woodblock print; ink and color on paper,7 x 9 in. (17.8 x 22.9 cm),"Gift of Cole J. Younger, 1975",,,,,Japan,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/55653,,,"Metropolitan Museum of Art, New York, NY",Roads|Men|Mountains|Trees,http://vocab.getty.edu/page/aat/300008217|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q34442|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q10884,https://images.metmuseum.org/CRDImages/as/original/DP122776.jpg,,True,Male
JP3451,False,False,True,55658,,Asian Art,1975,Print,,Japan,,,,,16476,Artist, ,Utagawa Hiroshige,"Japanese, Tokyo (Edo) 1797–1858 Tokyo (Edo)", ,"Utagawa, Hiroshige",Japanese,1797      ,1858      ,male,http://vocab.getty.edu/page/ulan/500019641,https://www.wikidata.org/wiki/Q200798,early 20th century,1900,1933,Woodblock print; ink and color on paper,7 x 9 in. (17.8 x 22.9 cm),"Gift of Cole J. Younger, 1975",,,,,Japan,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/55658,,,"Metropolitan Museum of Art, New York, NY",Men|Mountains|Trees,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q10884,https://images.metmuseum.org/CRDImages/as/original/DP122782.jpg,,True,Male
