Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,Image Url,Female Nudity,Male Nudity,Nudity
1984.1119.5,False,False,True,372911,,Drawings and Prints,1984,Print,Dancing Girl,,,,,,16272,Artist, ,James McNeill Whistler,"American, Lowell, Massachusetts 1834–1903 London", ,"Whistler, James McNeill",American,1834      ,1903      ,male,http://vocab.getty.edu/page/ulan/500012432,https://www.wikidata.org/wiki/Q203643,1890,1890,1890,Transfer lithograph; only state (Chicago); printed in black ink on coarse tan laid paper,"Image: 7 3/16 × 5 13/16 in. (18.2 × 14.8 cm)
Sheet: 12 3/8 x 7 3/8 in. (31.4 x 18.7 cm)","Gift of Paul F. Walter, 1984",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/372911,,,"Metropolitan Museum of Art, New York, NY",Girls|Dancing,http://vocab.getty.edu/page/aat/300247581|http://vocab.getty.edu/page/aat/300389779,https://www.wikidata.org/wiki/Q3031|https://www.wikidata.org/wiki/Q43393537,https://images.metmuseum.org/CRDImages/dp/original/DP813840.jpg,True,,Female
1984.1119.6,False,False,True,372912,,Drawings and Prints,1984,Print,Model Draping,,,,,,16272,Artist, ,James McNeill Whistler,"American, Lowell, Massachusetts 1834–1903 London", ,"Whistler, James McNeill",American,1834      ,1903      ,male,http://vocab.getty.edu/page/ulan/500012432,https://www.wikidata.org/wiki/Q203643,1890,1890,1890,"Transfer lithograph, with additions in graphite; only state (Chicago); printed in black ink on modern laid paper",sheet: 9 5/8 x 7 1/2 in. (24.4 x 19.1 cm),"Gift of Paul F. Walter, 1984",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/372912,,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,https://images.metmuseum.org/CRDImages/dp/original/DP813834.jpg,True,,Female
1984.1119.25,False,False,True,372929,,Drawings and Prints,1984,Print,Little London Model,,,,,,16272,Artist, ,James McNeill Whistler,"American, Lowell, Massachusetts 1834–1903 London", ,"Whistler, James McNeill",American,1834      ,1903      ,male,http://vocab.getty.edu/page/ulan/500012432,https://www.wikidata.org/wiki/Q203643,1896,1896,1896,Transfer lithograph with stumping; only state (Chicago); printed in black ink on ivory wove paper,"Image: 6 3/4 in. × 5 in. (17.2 × 12.7 cm)
Sheet: 12 3/16 × 8 3/8 in. (31 × 21.3 cm)","Gift of Paul F. Walter, 1984",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/372929,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/dp/original/DP814107.jpg,True,,Female
1985.1161.3,False,False,True,372942,,Drawings and Prints,1985,Print,Nude Model Reclining (Nude Model Resting),,,,,,16272,Artist, ,James McNeill Whistler,"American, Lowell, Massachusetts 1834–1903 London", ,"Whistler, James McNeill",American,1834      ,1903      ,male,http://vocab.getty.edu/page/ulan/500012432,https://www.wikidata.org/wiki/Q203643,1893,1893,1893,Transfer lithograph with stumping; third state of three (Chicago); printed  in black ink on cream laid paper,"Image: 4 1/2 × 8 7/16 in. (11.5 × 21.4 cm)
Sheet: 7 7/8 × 12 3/16 in. (20 × 31 cm)","Gift of Paul F. Walter, 1985",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/372942,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/dp/original/DT8269.jpg|https://images.metmuseum.org/CRDImages/dp/original/DP813901.jpg,True,,Female
2007.49.621,False,False,True,373830,,Drawings and Prints,2007,Print,Striding Man,,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,1914,1914,1914,Drypoint and roulette,sheet: 9 3/4 x 6 1/2 in. (24.8 x 16.5 cm),"Bequest of William S. Lieberman, 2005",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/373830,,,"Metropolitan Museum of Art, New York, NY",Male Nudes|Female Nudes,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/dp/original/DP825325.jpg,,True,Male
2007.49.651,False,False,False,373860,,Drawings and Prints,2007,Drawing,The Offering,,,,,,16371,Artist, ,Fernand Khnopff,"Belgian, Grembergen 1858–1921 Brussels", ,"Khnopff, Fernand",Belgian,1858      ,1921      ,male,http://vocab.getty.edu/page/ulan/500003023,https://www.wikidata.org/wiki/Q559559,1891,1891,1891,"Pastel, graphite, and chalk on paper",13 3/4 x 29 1/2 in. (34.9 x 74.9 cm),"Bequest of William S. Lieberman, 2005",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/373860,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/dp/original/DP237944.jpg|https://images.metmuseum.org/CRDImages/dp/original/khnopff.jpg,True,,Female
40.111.64,False,False,True,374210,,Drawings and Prints,1940,Print,John Henry and the Witch Woman,,,,,,9736216346,Artist|Publisher, |Published by,Fred Becker|WPA,"American, Oakland, California 1913–2004 Amherst, Massachusetts| ", | ,"Becker, Fred|WPA",American| ,1913      |          ,2004      |          ,male,http://vocab.getty.edu/page/ulan/500121788|http://vocab.getty.edu/page/ulan/500227524,https://www.wikidata.org/wiki/Q60712374|https://www.wikidata.org/wiki/Q1200079,1935–40,1935,1940,Wood engraving,"Block: 6 x 4 1/2 in. (15.2 x 11.4 cm)
Sheet: 11 1/4 x 7 3/4 in. (28.6 x 19.7 cm)","Harris Brisbane Dick Fund, 1940",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/374210,,,"Metropolitan Museum of Art, New York, NY",Men|Women,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467,https://images.metmuseum.org/CRDImages/dp/original/DP820125.jpg,True,,Female
40.111.68,False,False,True,374225,,Drawings and Prints,1940,Print,John Henry's Death,,,,,,9736216346,Artist|Publisher, |Published by,Fred Becker|WPA,"American, Oakland, California 1913–2004 Amherst, Massachusetts| ", | ,"Becker, Fred|WPA",American| ,1913      |          ,2004      |          ,male,http://vocab.getty.edu/page/ulan/500121788|http://vocab.getty.edu/page/ulan/500227524,https://www.wikidata.org/wiki/Q60712374|https://www.wikidata.org/wiki/Q1200079,1935–40,1935,1940,Wood engraving,"Block: 6 x 4 in. (15.2 x 10.2 cm)
Sheet: 8 3/4 x 5 3/4 in. (22.2 x 14.6 cm)","Harris Brisbane Dick Fund, 1940",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/374225,,,"Metropolitan Museum of Art, New York, NY",Buildings|Weapons|Men|Women|Death,http://vocab.getty.edu/page/aat/300004789|http://vocab.getty.edu/page/aat/300036926|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300151836,https://www.wikidata.org/wiki/Q41176|https://www.wikidata.org/wiki/Q728|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q4,https://images.metmuseum.org/CRDImages/dp/original/DP820123.jpg,True,True,Female and Male
40.111.69,False,False,True,374226,,Drawings and Prints,1940,Print,John Henry Building A Railroad,,,,,,9736216346,Artist|Publisher, |Published by,Fred Becker|WPA,"American, Oakland, California 1913–2004 Amherst, Massachusetts| ", | ,"Becker, Fred|WPA",American| ,1913      |          ,2004      |          ,male,http://vocab.getty.edu/page/ulan/500121788|http://vocab.getty.edu/page/ulan/500227524,https://www.wikidata.org/wiki/Q60712374|https://www.wikidata.org/wiki/Q1200079,1936,1936,1936,Wood engraving,"Block: 6 x 4 in. (15.2 x 10.2 cm)
Sheet: 8 3/4 x 5 3/4 in. (22.2 x 14.6 cm)","Harris Brisbane Dick Fund, 1940",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/374226,,,"Metropolitan Museum of Art, New York, NY",Railways|Men|Hammers,http://vocab.getty.edu/page/aat/300008591|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300024823,https://www.wikidata.org/wiki/Q22667|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q25294,https://images.metmuseum.org/CRDImages/dp/original/DP820122.jpg,,True,Male
43.33.952,False,False,True,374386,,Drawings and Prints,1943,Print,The Turtle,,,,,,9736016346,Artist|Publisher, |Published by,Mortimer Borne|WPA,"American (born Poland), Rypin 1902–1987 Nyack, New York| ", | ,"Borne, Mortimer|WPA","American, born Poland| ",1902      |          ,1987      |          ,male,http://vocab.getty.edu/page/ulan/500524887|http://vocab.getty.edu/page/ulan/500227524,https://www.wikidata.org/wiki/Q56711537|https://www.wikidata.org/wiki/Q1200079,1935–43,1935,1943,Color linocut,block: 8 x 10 in. (20.3 x 25.5 cm) sheet: 12 x 13 1/2 in (30.5 x 34.3 cm),"Gift of the Work Projects Administration, New York, 1943",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/374386,,,"Metropolitan Museum of Art, New York, NY",Human Figures|Turtles|Beaches,http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300310264|http://vocab.getty.edu/page/aat/300008816,https://www.wikidata.org/wiki/Q5937779|https://www.wikidata.org/wiki/Q32945370|https://www.wikidata.org/wiki/Q40080,https://images.metmuseum.org/CRDImages/dp/original/DP822740.jpg,,True,Male
40.111.67,False,False,True,374390,,Drawings and Prints,1940,Print,"Lord, My Burden!",,,,,,9736216346,Artist|Publisher, |Published by,Fred Becker|WPA,"American, Oakland, California 1913–2004 Amherst, Massachusetts| ", | ,"Becker, Fred|WPA",American| ,1913      |          ,2004      |          ,male,http://vocab.getty.edu/page/ulan/500121788|http://vocab.getty.edu/page/ulan/500227524,https://www.wikidata.org/wiki/Q60712374|https://www.wikidata.org/wiki/Q1200079,1935–40,1935,1940,Wood engraving,"Block: 6 x 4 1/2 in. (15.2 x 11.4 cm)
Sheet: 11 1/4 x 8 3/4 in. (28.6 x 22.2 cm)","Harris Brisbane Dick Fund, 1940",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/374390,,,"Metropolitan Museum of Art, New York, NY",Abstraction,http://vocab.getty.edu/page/aat/300056508,https://www.wikidata.org/wiki/Q162150,https://images.metmuseum.org/CRDImages/dp/original/DP820127.jpg,True,True,Female and Male
43.33.79,False,False,True,374660,,Drawings and Prints,1943,Print,Preaching to the Birds,,,,,,7842616346,Artist|Publisher, |Published by,Fritz Eichenberg|WPA,"American, Cologne, Germany 1901–1990 Peace Dale, Rhode Island| ", | ,"Eichenberg, Fritz|WPA",American| ,1901      |          ,1990      |          ,male,(not assigned)|http://vocab.getty.edu/page/ulan/500227524,https://www.wikidata.org/wiki/Q2605345|https://www.wikidata.org/wiki/Q1200079,1935–43,1935,1943,Wood engraving,block: 7 3/4 x 6 in. (19.7 x 15.2 cm) sheet: 10 1/2 x 8 in. (26.7 x 20.3 cm),"Gift of the Work Projects Administration, New York, 1943",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/374660,,,"Metropolitan Museum of Art, New York, NY",Birds|Saint Francis,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/ulan/500349636,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q676555,https://images.metmuseum.org/CRDImages/dp/original/DP835618.jpg,,True,Male
68.761.9,False,False,True,376723,,Drawings and Prints,1968,Print,Olympia,,,,,,16209,Artist,After,Edouard Manet,"French, Paris 1832–1883 Paris", ,"Manet, Edouard",French,1832      ,1883      ,male,http://vocab.getty.edu/page/ulan/500010363,https://www.wikidata.org/wiki/Q40599,1923,1923,1923,"color woodcut, printed in black and ochre ink on thin parchment paper",sheet: 7 7/8 x 10 in. (20 x 25.4 cm),"Gift of Mrs. Margarete Wohl, 1968",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/376723,,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Cats,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300265960,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q146,https://images.metmuseum.org/CRDImages/dp/original/DP815330.jpg,True,,Female
